reachability_status,status,source_labels,url,final_url,lanes,source_artifacts,title_warning,title,error
reachable,200,NIST GenAI evaluation program,https://ai-challenges.nist.gov/genai,https://ai-challenges.nist.gov/genai,prediction_science,docs/launch-readiness/prediction-science-evidence-validation-2026-06-06.json#current_forecasting_science_sources,,GenAI - Evaluating Generative AI,
reachable,200,NIST AI RMF Core Measure; NIST AI RMF Measure/Manage,https://airc.nist.gov/airmf-resources/airmf/5-sec-core/,https://airc.nist.gov/airmf-resources/airmf/5-sec-core/,forecast_protocol; forecast_scoring,docs/launch-readiness/forecast-evaluation-protocol-2026-06-06.json#external_methodology_alignment; docs/launch-readiness/forecast-scoring-evidence-validation-2026-06-06.json#current_source_alignment,,AI RMF Core - AIRC,
reachable,200,ForecastBench paper,https://arxiv.org/abs/2409.19839,https://arxiv.org/abs/2409.19839,prediction_science,docs/launch-readiness/prediction-science-evidence-validation-2026-06-06.json#current_forecasting_science_sources,,[2409.19839] ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,
reachable,200,NIST Cybersecurity Framework 2.0,https://csrc.nist.gov/news/2024/the-nist-csf-20-is-here,https://csrc.nist.gov/news/2024/the-nist-csf-20-is-here,loophole_remediation,docs/launch-readiness/commercial-loophole-remediation-2026-06-06.json#current_source_anchors,,The NIST CSF 2.0 is Here! | CSRC,
reachable,200,NIST SSDF SP 800-218,https://csrc.nist.gov/pubs/sp/800/218/final,https://csrc.nist.gov/pubs/sp/800/218/final,commercial_confidence_frameworks; enterprise_procurement; enterprise_trust,docs/launch-readiness/commercial-confidence-gate-2026-06-06.json#external_framework_alignment; docs/launch-readiness/enterprise-procurement-readiness-gate-2026-06-06.json#current_source_alignment; docs/launch-readiness/enterprise-trust-execution-readiness-2026-06-06.json#current_enterprise_trust_sources,,"SP 800-218, Secure Software Development Framework (SSDF) Version 1.1: Recommendations for Mitigating the Risk of Software Vulnerabilities | CSRC",
reachable,200,AlphaSense Enterprise Intelligence private-cloud documentation,https://developer.alpha-sense.com/enterprise/,https://developer.alpha-sense.com/enterprise/,competitive_positioning,docs/launch-readiness/competitive-positioning-evidence-validation-2026-06-06.json#current_competitive_sources,,Enterprise Intelligence: Private Cloud | AlphaSense Documentation,
reachable,200,Netlify deploy overview,https://docs.netlify.com/deploy/deploy-overview/,https://docs.netlify.com/deploy/deploy-overview/,hosted_proof,docs/launch-readiness/hosted-smoke-execution-readiness-2026-06-06.json#current_hosted_proof_sources,,Deploy overview | Netlify Docs,
reachable,200,Netlify Deploy Previews,https://docs.netlify.com/site-deploys/deploy-previews/,https://docs.netlify.com/deploy/deploy-types/deploy-previews/,hosted_proof,docs/launch-readiness/hosted-smoke-execution-readiness-2026-06-06.json#current_hosted_proof_sources,,Deploy Previews | Netlify Docs,
reachable,200,EU AI Act risk controls,https://eur-lex.europa.eu/eli/reg/2024/1689/oj,https://eur-lex.europa.eu/eli/reg/2024/1689/oj,commercial_confidence_frameworks,docs/launch-readiness/commercial-confidence-gate-2026-06-06.json#external_framework_alignment,,Regulation - EU - 2024/1689 - EN - EUR-Lex,
reachable,200,FiscalNote political prediction-market expansion,https://fiscalnote.com/newsroom/fiscalnote-announces-major-expansion-into-political-prediction-markets,https://fiscalnote.com/newsroom/fiscalnote-announces-major-expansion-into-political-prediction-markets,competitive_positioning,docs/launch-readiness/competitive-positioning-evidence-validation-2026-06-06.json#current_competitive_sources,,FiscalNote Announces Major Expansion Into Political Prediction Markets,
