approval_id,lane,approval_type,artifact_or_action,required_before,owner_decision,owner,approved_at,evidence_ref,external_share_status,secret_redaction_status,claim_boundary_acknowledged,notes
prediction_pre_resolution_freeze,prediction_accuracy,evidence_freeze,docs/launch-readiness/forecast-pre-resolution-capture-validation-2026-06-06.json,"freeze owner-filled pre-resolution question, forecast snapshot, and baseline snapshot packet",pending,,,docs/launch-readiness/forecast-pre-resolution-capture-validation-2026-06-06.json,internal_only,no_secrets_present,pending,Does not prove resolved outcomes or forecast accuracy.
prediction_resolved_export,prediction_accuracy,owner_data_export,docs/launch-readiness/approved-resolved-forecast-export-template-2026-06-06.csv,"run calibration, Brier scoring, benchmark comparison, and prediction-science claim review",pending,,,docs/launch-readiness/approved-resolved-forecast-export-template-2026-06-06.csv,internal_only,pending,pending,Requires real resolved outcomes and comparable baselines.
prediction_claim_language,prediction_accuracy,external_claim_language,forecast accuracy and world-class prediction wording,"any public or buyer-facing accuracy, benchmark superiority, or world-class prediction claim",pending,,,docs/launch-readiness/forecast-claim-governance-2026-06-06.json,pending,not_applicable,pending,Current language must remain pilot-only and calibration-aware.
buyer_discovery_slate,buyer_validation,manual_outreach_approval,docs/launch-readiness/buyer-discovery-kit-2026-06-06.json,manual buyer discovery calls or outreach,pending,,,docs/launch-readiness/buyer-validation-targets-2026-06-06.json,internal_only,no_secrets_present,pending,No automated outreach should run from this repo.
buyer_outcome_capture_protocol,buyer_validation,evidence_capture_approval,docs/launch-readiness/buyer-discovery-call-sheet-2026-06-06.csv outcome-capture fields,"manual buyer discovery calls can count toward sellability, willingness-to-pay, or outcome-measurement evidence",pending,,,docs/launch-readiness/pilot-outcome-measurement-kit-2026-06-06.json,internal_only,no_secrets_present,pending,"Requires baseline/current workflow, pilot outcome or expected delta, quality signal, buyer decision event, and outcome evidence notes; still not buyer proof until real calls pass validators."
buyer_external_claim_language,buyer_validation,external_claim_language,"pilot offer, outreach, demo, and buyer-proof wording","external buyer-share copy, deck, email, LinkedIn, or demo script",pending,,,docs/launch-readiness/claim-consistency-validation-2026-06-06.json,pending,not_applicable,pending,Buyer-validated and willingness-to-pay claims remain blocked until real calls pass.
enterprise_procurement_documents,enterprise_security_trust,procurement_document_approval,docs/launch-readiness/enterprise-procurement-evidence-register-2026-06-06.csv,"enterprise procurement, privacy, SLA, incident, or public-sector security claims",pending,,,docs/launch-readiness/enterprise-procurement-evidence-validation-2026-06-06.json,pending,pending,pending,Requires 8/8 owner-approved procurement document rows.
enterprise_external_share_register,enterprise_security_trust,external_share_approval,external-share status for procurement and questionnaire artifacts,showing security/procurement artifacts to buyers,pending,,,docs/launch-readiness/enterprise-procurement-readiness-gate-2026-06-06.json,pending,pending,pending,"Must not expose internal logs, secrets, or unsupported claims."
rls_policy_and_test_execution,enterprise_security_trust,security_test_approval,docs/launch-readiness/rls-identity-and-review-policy-draft-2026-06-06.sql,"RLS migration conversion, local pgTAP, or linked Supabase RLS proof",pending,,,docs/launch-readiness/rls-proof-evidence-validation-2026-06-06.json,internal_only,pending,pending,Do not apply migrations or run linked tests without explicit owner approval.
ai_action_policy_and_hosted_boundary_tests,enterprise_security_trust,ai_governance_approval,docs/launch-readiness/ai-high-impact-action-policy-2026-06-06.json,hosted no-autonomous-action boundary tests or AI governance/security claims,pending,,,docs/launch-readiness/ai-high-impact-action-policy-2026-06-06.json,internal_only,not_applicable,pending,Policy draft is not owner-approved and hosted boundary tests are not executed.
hosted_project_access,hosted_operational_proof,hosted_access_approval,"Supabase project visibility, function management, and secret management checks",hosted access preflight and hosted smoke execution,pending,,,docs/launch-readiness/hosted-access-preflight-validation-2026-06-06.json,internal_only,pending,pending,Current target project and function/secret management access are blocked.
hosted_url_deploy_binding,hosted_operational_proof,deploy_binding_approval,"owner-approved hosted URL plus deploy id, release id, or commit SHA",hosted smoke evidence rows or hosted-live claim review,pending,,,docs/launch-readiness/hosted-operational-proof-kit-2026-06-06.json,internal_only,no_secrets_present,pending,Local route proof cannot be upgraded to hosted proof.
hosted_payment_proof_values,hosted_operational_proof,payment_test_approval,Stripe test-mode proof values and pricing/entitlement smoke inputs,hosted payment/pricing/entitlement proof,pending,,,docs/launch-readiness/hosted-smoke-execution-readiness-2026-06-06.json,internal_only,pending,pending,Do not persist or print payment secrets.
hosted_claim_language,hosted_operational_proof,external_claim_language,"hosted-live, operational, uptime, and production-readiness wording",any hosted-live or operational-proof buyer claim,pending,,,docs/launch-readiness/hosted-operational-proof-evidence-validation-2026-06-06.json,pending,not_applicable,pending,Hosted proof is currently absent.
