gate,status,proof_bucket,evidence,next_action
current_enterprise_trust_sources_attached,passed,repo_artifact,6 current enterprise AI/security source anchors attached.,"Refresh source anchors when NIST, CISA, OWASP, or ISO guidance changes."
enterprise_trust_pack_ready,passed,repo_artifact,trust_pack_status=enterprise_trust_pack_ready_not_security_proof; questionnaire_rows=19; trust_domains=10; acceptance_gates=8.,Use the trust pack as the internal procurement-questionnaire map only.
procurement_register_template_ready,passed,repo_artifact,register_template_exists=true; ready_docs=0/8; missing_docs=8; external_share_approved=0.,Owner fills and approves required procurement documents before any enterprise-ready claim.
procurement_gate_ready,passed,repo_artifact,procurement_gate_status=enterprise_procurement_gate_ready_not_owner_approved_or_security_proof; release_holds=6.,"Clear release holds with owner-approved docs, hosted proof, RLS proof, AI action policy approval, and claim-language review."
rls_execution_plan_ready_not_proof,passed,repo_artifact,rls_register_exists=true; rls_draft_ready=true; expected_case_environment_rows=54; executed_rows=0; rls_proof_ready=false.,"Owner approves classifications and migration, then run local and linked RLS proof rows."
local_llm_red_team_ready_not_hosted,passed,local,local_red_team_passed=10/10; hosted_runtime_executed=0; hosted_runtime_ready=false.,Run owner-approved hosted LLM red-team smoke before external security claims.
ai_action_policy_ready_not_owner_approved,passed,repo_artifact,action_surfaces=10; policy_surfaces=10; approval_required=9; direct_llm_to_irreversible_actions=0; owner_approved_policies=0; hosted_verified_tests=0.,Owner approves high-impact action policy and runs hosted no-autonomous-action boundary tests.
hosted_runtime_boundary_ready,open_hosted_runtime_not_ready,hosted_live,hosted_access_ready=false; hosted_proof_ready=false; hosted_claim_allowed=false.,Clear hosted access preflight and hosted operational proof validation.
claim_boundaries_preserved,passed,repo_artifact,claim_consistency_ready=true; enterprise_ready_claim_allowed=false.,"Keep enterprise-ready, hosted-live, certified, and security-proof language blocked until evidence validators pass."
enterprise_execution_ready_for_owner_review,passed,repo_artifact,execution_ready_for_owner_trust_review=true; enterprise_proof_ready=false.,"Owner can review, approve, and attach procurement documents and then run hosted/RLS evidence gates."
