id,name,category,impact_level,high_impact_product_action,external_side_effect,public_or_financial_effect,direct_llm_to_irreversible_action,static_gate_status,source_evidence_status,found_evidence_count,missing_evidence_count,buyer_safe_claim,next_gate,files
analyze_engine_service_role_persistence,Analyze-engine service-role persistence,ai_adjacent_persistence,high,true,false,false,false,partial_static_gates_present_hosted_unverified,all_expected_static_evidence_found,6,0,AI-adjacent persistence is mapped; no hosted service-role/RLS boundary proof is attached.,Add owner-approved hosted proof and a centralized allowlist for post-synthesis writes/fanout before enterprise no-autonomous-action claims.,supabase/functions/analyze-engine/index.ts
analyze_engine_function_fanout,Analyze-engine adjacent function and ML fanout,ai_adjacent_tool_fanout,high,true,true,false,false,partial_static_gates_present_hosted_unverified,all_expected_static_evidence_found,6,0,Post-analysis fanout is mapped as a high-impact surface; autonomous-action proof is not complete.,Add a centralized post-LLM action allowlist with per-action approval/authorization labels and hosted regression evidence.,supabase/functions/analyze-engine/index.ts
forecast_publication,Forecast publication,public_content_publication,high,true,false,true,false,static_gates_present_hosted_unverified,all_expected_static_evidence_found,5,0,Public forecast creation has static user/owner/governance gates; hosted behavior and RLS are not proven here.,"Run hosted smoke plus RLS tests for owned, unowned, rejected, unreviewed, and contested linked analyses.",supabase/functions/forecast-create/index.ts
human_review_request,Human review request,review_workflow_state_change,medium,false,false,false,false,static_gates_present_hosted_unverified,all_expected_static_evidence_found,4,0,Review-request transitions are statically owner/reviewer gated; hosted proof is pending.,Run hosted owner/reviewer/other-user request-review smoke with redacted evidence.,supabase/functions/human-review/index.ts
human_review_approve_reject,Human review approve/reject,review_decision,high,true,false,false,false,static_gates_present_hosted_unverified,all_expected_static_evidence_found,5,0,Review decisions are statically human/reviewer gated; hosted proof is pending.,"Run hosted role-boundary tests for reviewer, owner, anonymous, and unrelated users.",supabase/functions/human-review/index.ts
stripe_checkout_session,Stripe checkout session creation,payment_action,high,true,true,true,false,static_gates_present_hosted_unverified,all_expected_static_evidence_found,5,0,Checkout initiation is user-authenticated and static-gated; payment proof requires owner-approved Stripe test policy.,Run hosted payment test only with owner-approved test keys and redacted evidence.,supabase/functions/stripe-checkout/index.ts
stripe_webhook_entitlement_sync,Stripe webhook entitlement sync,payment_entitlement_mutation,high,true,true,true,false,static_gates_present_hosted_unverified,all_expected_static_evidence_found,5,0,Stripe entitlement sync is signature-gated in source; hosted invalid-signature proof is not attached.,Run invalid-signature and valid-test-event hosted proof under owner-approved Stripe test policy.,supabase/functions/stripe-webhook/index.ts; supabase/functions/_shared/monetization.ts
whop_webhook_entitlement_sync,Whop webhook entitlement sync,payment_entitlement_mutation,high,true,true,true,false,static_gates_present_hosted_unverified,all_expected_static_evidence_found,5,0,Whop entitlement sync is signature-gated in source; hosted invalid-signature proof is not attached.,Run invalid-signature and valid-test-event hosted proof under owner-approved Whop test policy.,supabase/functions/whop-webhook/index.ts; supabase/functions/_shared/monetization.ts
buyer_discovery_outreach_copy,Buyer discovery outreach copy,outreach_copy_only,low,false,false,false,false,copy_only_no_send_action,all_expected_static_evidence_found,1,0,Outreach artifacts are draft-only and require owner approval before external contact.,Owner approves or edits the target slate and message copy before any outreach.,scripts/build-buyer-discovery-kit.mjs
hosted_service_role_smoke_scripts,Hosted service-role smoke scripts,operator_test_only,operator_high,false,true,false,false,owner_approved_test_only_not_runtime_product_action,all_expected_static_evidence_found,4,0,Hosted proof scripts are test-only and require owner-approved secret handling.,"Run only after owner approval, with redacted logs and no secrets persisted.",scripts/hosted-access-preflight.sh; scripts/hosted-strategist-smoke.mjs; scripts/hosted-auth-diagnostics.mjs; scripts/hosted-stripe-proof.mjs
