domain,buyer_question,current_answer,evidence_artifact,proof_status,missing_proof,owner_action,allowed_claim
Commercial claim boundary,Can this be represented as enterprise-ready or world-class accurate today?,No. The current decision remains pilot-only and market language must stay buyer-safe.,docs/launch-readiness/commercial-confidence-gate-2026-06-06.json,not_95_confident,"Hosted proof, buyer validation, RLS test evidence, and real accuracy baselines.",Approve pilot-only positioning and prohibit world-class prediction claims until evidence gates pass.,Governed strategic-intelligence pilot with calibration-aware decision support.
RLS and object authorization,"Are tenant, user, reviewer, and public/private boundaries enforced and tested?","A first-batch draft and test plan exist, but they are not applied or executed.",docs/launch-readiness/rls-table-classification-register-2026-06-06.json; docs/launch-readiness/rls-identity-and-review-test-plan-2026-06-06.json; docs/launch-readiness/rls-identity-and-review-policy-draft-2026-06-06.json,policy_draft_not_applied,"Owner classification, migration, pgTAP pass, linked Supabase verification, and hosted smoke.","Review classifications, resolve open owner decisions, and approve one narrow RLS migration.",RLS remediation path is drafted; enterprise isolation proof is not complete.
Public and anonymous exceptions,"Which tables are intentionally public or anonymous, and why?","The classification register identifies public/anonymous exception reviews, but owner decisions are pending.",docs/launch-readiness/rls-table-classification-register-2026-06-06.json,owner_classification_pending,"Approved data category, privacy impact, buyer-safe rationale, and tests for each exception.","Mark every public/anonymous exception as approved, removed, or narrowed.",Public/anonymous access is under review.
Hosted runtime proof,Does the hosted app match the repo-backed launch surface?,No hosted/live proof is attached; the proof kit defines checks to run after owner-approved access.,docs/launch-readiness/hosted-operational-proof-kit-2026-06-06.json,hosted_proof_absent,"Hosted URL, deploy id, access preflight, auth/schema/function drift, screenshots, and redacted logs.","Provide hosted URL, deployment state, secrets policy, and smoke-user policy, then run hosted proof kit.",Hosted proof plan exists; hosted behavior is not proven in this artifact.
Auth and entitlement controls,Can paid/premium access and account boundaries be demonstrated?,Scripts exist for hosted diagnostics; no hosted entitlement proof is attached.,docs/launch-readiness/hosted-operational-proof-kit-2026-06-06.json,proof_kit_ready_not_hosted_proof,"Hosted auth diagnostics, invalid webhook rejection proof, and entitlement table evidence.",Run hosted auth/payment proof after owner-approved secrets and payment test policy.,Auth and entitlement proof path is defined.
LLM prompt injection,Has the app been tested against prompt injection and instruction override attacks?,Static prompt-injection controls are inventoried and the local non-secret red-team fixtures passed; hosted model-path testing remains pending.,docs/launch-readiness/llm-security-readiness-audit-2026-06-06.json,local_redteam_passed_hosted_missing,Hosted prompt-injection regression tests with redacted logs and buyer-visible evidence.,"Approve hosted fixture execution policy, redacted evidence paths, and smoke-user scope.",Local prompt-injection regression coverage exists; hosted resistance is not proven.
Sensitive information disclosure,Can the app prevent or flag sensitive data leakage through LLM output or logs?,Static diagnostics/redaction controls are inventoried and local canary fixtures passed; hosted output/log redaction proof is pending.,docs/launch-readiness/llm-security-readiness-audit-2026-06-06.json; docs/launch-readiness/hosted-operational-proof-kit-2026-06-06.json,local_redaction_fixture_passed_hosted_missing,"Hosted sensitive-data fixtures, log-redaction inspection, and hosted output proof.",Run hosted redaction and sensitive-output checks with non-secret fixtures after approval.,Local sensitive-disclosure fixture coverage exists; hosted redaction proof is pending.
LLM output handling,Are LLM outputs validated before downstream use?,"Static audit confirms structured schemas, sanitizers, evidence-reference filtering, provenance downgrade, and local adversarial fixture execution.",docs/launch-readiness/llm-security-readiness-audit-2026-06-06.json; docs/launch-readiness/launch-evidence-2026-06-06.json,local_output_handling_fixtures_passed_hosted_missing,Hosted adversarial output fixtures for buyer-critical flows.,Run hosted output-handling fixtures with redacted evidence.,Local output-handling red-team fixtures passed; hosted model-path coverage is pending.
Excessive agency and tool use,Can the AI take irreversible or high-impact actions automatically?,"The AI action inventory maps 10 action surfaces and 7 high-impact product actions. The draft high-impact action policy defines 10 policy surfaces, 9 approval-required surfaces, 9 hosted boundary tests, and 4 static boundary tests. It found 0 direct LLM-to-irreversible-action surfaces, but owner approval count is 0 and hosted verified test count is 0.",docs/launch-readiness/ai-high-impact-action-policy-2026-06-06.json; docs/launch-readiness/ai-action-inventory-2026-06-06.json; docs/launch-readiness/llm-security-readiness-audit-2026-06-06.json; docs/launch-readiness/launch-evidence-2026-06-06.json,draft_action_policy_ready_owner_approval_and_hosted_tests_missing,"Owner-approved high-impact action policy, hosted no-autonomous-action test execution, RLS proof, payment/webhook invalid-signature proof, and redacted hosted evidence.","Review the draft high-impact action policy, approve or edit every approval-required surface, then run hosted action-boundary smoke tests with redacted evidence.","Decision support, not autonomous execution."
Forecast accuracy and calibration,What evidence supports prediction accuracy?,"Calibration primitives, sample ledger mechanics, and a protocol exist; no real owner-approved resolved-outcome proof exists.",docs/launch-readiness/forecast-evaluation-protocol-2026-06-06.json; docs/launch-readiness/accuracy-evidence-intake-kit-2026-06-06.json,evaluation_protocol_ready_not_accuracy_proof,"Owner-approved resolved forecast export, real comparable baselines, leakage review, and hosted calibration proof.",Supply approved forecast/baseline data and run calibration plus benchmark scripts under protocol gates.,Calibration-aware workflow only.
