table,domain,remediation_batch_order,batch_priority,table_priority,data_category,default_sensitivity,recommended_visibility,public_or_anon_exception_default,policy_exception_status,owner_model_to_confirm,owner_to_assign,approval_status,first_fix_batch_candidate,finding_count,p1_finding_count,issue_types,operations,recommended_policy_direction,required_persona_tests,owner_questions,source_locations
agent_beliefs,advanced_services,1,P1,P1,advanced_strategy_output_data,high,owner_analysis_service_role_only,no,not_allowed_by_default,"analysis owner, strategy owner, authenticated creator, or service role",TBD,pending_owner_classification,false,3,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Require owner-bound inserts and reads, or service-role mediated writes from authenticated analysis jobs.",anon_denied|unrelated_authenticated_denied|owner_allowed|service_role_allowed,Which actor owns generated strategic outputs?|Which service jobs can write advanced outputs?|Can any rows become public only through an explicit publish workflow?,supabase/migrations/20250902184559_0005_recursive.sql:33|supabase/migrations/20250902184559_0005_recursive.sql:43
analysis_trajectories,advanced_services,1,P1,P1,advanced_strategy_output_data,high,owner_analysis_service_role_only,no,not_allowed_by_default,"analysis owner, strategy owner, authenticated creator, or service role",TBD,pending_owner_classification,false,3,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Require owner-bound inserts and reads, or service-role mediated writes from authenticated analysis jobs.",anon_denied|unrelated_authenticated_denied|owner_allowed|service_role_allowed,Which actor owns generated strategic outputs?|Which service jobs can write advanced outputs?|Can any rows become public only through an explicit publish workflow?,supabase/migrations/20250902184559_0005_recursive.sql:28|supabase/migrations/20250902184559_0005_recursive.sql:38
belief_networks,advanced_services,1,P1,P1,advanced_strategy_output_data,high,owner_analysis_service_role_only,no,not_allowed_by_default,"analysis owner, strategy owner, authenticated creator, or service role",TBD,pending_owner_classification,false,3,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Require owner-bound inserts and reads, or service-role mediated writes from authenticated analysis jobs.",anon_denied|unrelated_authenticated_denied|owner_allowed|service_role_allowed,Which actor owns generated strategic outputs?|Which service jobs can write advanced outputs?|Can any rows become public only through an explicit publish workflow?,supabase/migrations/20250102184613_0007_quantum_table_schema.sql:81|supabase/migrations/20250102184613_0007_quantum_table_schema.sql:86
collective_insights,advanced_services,1,P1,P1,advanced_strategy_output_data,high,owner_analysis_service_role_only,no,not_allowed_by_default,"analysis owner, strategy owner, authenticated creator, or service role",TBD,pending_owner_classification,false,3,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Require owner-bound inserts and reads, or service-role mediated writes from authenticated analysis jobs.",anon_denied|unrelated_authenticated_denied|owner_allowed|service_role_allowed,Which actor owns generated strategic outputs?|Which service jobs can write advanced outputs?|Can any rows become public only through an explicit publish workflow?,supabase/migrations/20250102184612_0008_evidence_collective.sql:141|supabase/migrations/20250102184612_0008_evidence_collective.sql:158
information_value_analysis,advanced_services,1,P1,P1,advanced_strategy_output_data,high,owner_analysis_service_role_only,no,not_allowed_by_default,"analysis owner, strategy owner, authenticated creator, or service role",TBD,pending_owner_classification,false,3,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Require owner-bound inserts and reads, or service-role mediated writes from authenticated analysis jobs.",anon_denied|unrelated_authenticated_denied|owner_allowed|service_role_allowed,Which actor owns generated strategic outputs?|Which service jobs can write advanced outputs?|Can any rows become public only through an explicit publish workflow?,supabase/migrations/20250918100000_information_value_analysis.sql:18|supabase/migrations/20250918100000_information_value_analysis.sql:19
insight_reactions,advanced_services,1,P1,P1,advanced_strategy_output_data,high,owner_analysis_service_role_only,no,not_allowed_by_default,"analysis owner, strategy owner, authenticated creator, or service role",TBD,pending_owner_classification,false,3,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Require owner-bound inserts and reads, or service-role mediated writes from authenticated analysis jobs.",anon_denied|unrelated_authenticated_denied|owner_allowed|service_role_allowed,Which actor owns generated strategic outputs?|Which service jobs can write advanced outputs?|Can any rows become public only through an explicit publish workflow?,supabase/migrations/20250102184612_0008_evidence_collective.sql:144|supabase/migrations/20250102184612_0008_evidence_collective.sql:159
quantum_strategic_states,advanced_services,1,P1,P1,advanced_strategy_output_data,high,owner_analysis_service_role_only,no,not_allowed_by_default,"analysis owner, strategy owner, authenticated creator, or service role",TBD,pending_owner_classification,false,3,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Require owner-bound inserts and reads, or service-role mediated writes from authenticated analysis jobs.",anon_denied|unrelated_authenticated_denied|owner_allowed|service_role_allowed,Which actor owns generated strategic outputs?|Which service jobs can write advanced outputs?|Can any rows become public only through an explicit publish workflow?,supabase/migrations/20250102184613_0007_quantum_table_schema.sql:57|supabase/migrations/20250102184613_0007_quantum_table_schema.sql:62
scale_invariant_adaptations,advanced_services,1,P1,P1,advanced_strategy_output_data,high,owner_analysis_service_role_only,no,not_allowed_by_default,"analysis owner, strategy owner, authenticated creator, or service role",TBD,pending_owner_classification,false,3,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Require owner-bound inserts and reads, or service-role mediated writes from authenticated analysis jobs.",anon_denied|unrelated_authenticated_denied|owner_allowed|service_role_allowed,Which actor owns generated strategic outputs?|Which service jobs can write advanced outputs?|Can any rows become public only through an explicit publish workflow?,supabase/migrations/20250918110000_advanced_services_tables.sql:122|supabase/migrations/20250918110000_advanced_services_tables.sql:125
shared_strategies,advanced_services,1,P1,P1,advanced_strategy_output_data,high,owner_analysis_service_role_only,no,not_allowed_by_default,"analysis owner, strategy owner, authenticated creator, or service role",TBD,pending_owner_classification,false,3,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Require owner-bound inserts and reads, or service-role mediated writes from authenticated analysis jobs.",anon_denied|unrelated_authenticated_denied|owner_allowed|service_role_allowed,Which actor owns generated strategic outputs?|Which service jobs can write advanced outputs?|Can any rows become public only through an explicit publish workflow?,supabase/migrations/20250902184600_0006_collective.sql:28|supabase/migrations/20250902184600_0006_collective.sql:38
strategic_patterns,advanced_services,1,P1,P1,advanced_strategy_output_data,high,owner_analysis_service_role_only,no,not_allowed_by_default,"analysis owner, strategy owner, authenticated creator, or service role",TBD,pending_owner_classification,false,3,1,anonymous_write_check|unconditional_using_true|write_without_obvious_identity_predicate,INSERT|SELECT,"Require owner-bound inserts and reads, or service-role mediated writes from authenticated analysis jobs.",anon_denied|unrelated_authenticated_denied|owner_allowed|service_role_allowed,Which actor owns generated strategic outputs?|Which service jobs can write advanced outputs?|Can any rows become public only through an explicit publish workflow?,supabase/migrations/20250102184613_0007_quantum_table_schema.sql:69|supabase/migrations/20250102184613_0007_quantum_table_schema.sql:74
